"","Mean","SE","Day_Treatment","Day","Plate.ID","Reading.Date.Time","Mean.RFU..Chl.a70.460.685.","Std.Dev.RFU..Chl.a70.460.685.","CV.RFU..Chl.a70.460.685.","Mean.RFU..Chl.a100.460.685.","Std.Dev.RFU..Chl.a100.460.685.","CV.RFU..Chl.a100.460.685.","Treatment"
"91",541.25,39.6996536508821,"11_10",11,"Day11-Plate4 Algae-Bacteria Growth Experiment","3/27/2018 14:45",609,211.452,34.715,615,209.625,34.067,"10"
"92",489,21,"11_13",11,"Day11-Plate2 Algae-Bacteria Growth Experiment","3/27/2018 14:21",510,242.684,47.596,473,226.249,47.833,"13"
"93",489,21,"11_13",11,"Day11-Plate3 Algae-Bacteria Growth Experiment","3/27/2018 14:31",468,214.1,45.737,470,204.226,43.432,"13"
"94",452,12.8582010146573,"11_14",11,"Day11-Plate2 Algae-Bacteria Growth Experiment","3/27/2018 14:21",476,183.908,38.672,470,179.424,38.139,"14"
"95",452,12.8582010146573,"11_14",11,"Day11-Plate3 Algae-Bacteria Growth Experiment","3/27/2018 14:31",448,267.293,59.619,449,266.326,59.374,"14"
"96",452,12.8582010146573,"11_14",11,"Day11-Plate4 Algae-Bacteria Growth Experiment","3/27/2018 14:45",432,202.406,46.889,445,199.835,44.929,"14"
"97",504,9,"11_19",11,"Day11-Plate1 Algae-Bacteria Growth Experiment","3/27/2018 14:11",513,175.328,34.155,443,164.461,37.162,"19"
"98",504,9,"11_19",11,"Day11-Plate2 Algae-Bacteria Growth Experiment","3/27/2018 14:21",486,274.571,56.522,439,234.723,53.414,"19"
"99",504,9,"11_19",11,"Day11-Plate5 Algae-Bacteria Growth Experiment","3/27/2018 14:57",513,199.875,38.97,491,187.812,38.216,"19"
"100",489,26.9128222228736,"11_2",11,"Day11-Plate1 Algae-Bacteria Growth Experiment","3/27/2018 14:11",539,188.678,35.005,449,150.638,33.566,"2"
"101",489,26.9128222228736,"11_2",11,"Day11-Plate2 Algae-Bacteria Growth Experiment","3/27/2018 14:21",397,219.113,55.223,366,215.119,58.794,"2"
"102",489,26.9128222228736,"11_2",11,"Day11-Plate3 Algae-Bacteria Growth Experiment","3/27/2018 14:31",494,318.595,64.435,501,310.961,62.096,"2"
"103",489,26.9128222228736,"11_2",11,"Day11-Plate4 Algae-Bacteria Growth Experiment","3/27/2018 14:45",470,195.826,41.645,479,195.461,40.806,"2"
"104",489,26.9128222228736,"11_2",11,"Day11-Plate5 Algae-Bacteria Growth Experiment","3/27/2018 14:57",545,202.545,37.157,511,197.453,38.615,"2"
"105",591,39.7030645332742,"11_20",11,"Day11-Plate1 Algae-Bacteria Growth Experiment","3/27/2018 14:11",656,252.003,38.389,550,218.797,39.765,"20"
"106",591,39.7030645332742,"11_20",11,"Day11-Plate3 Algae-Bacteria Growth Experiment","3/27/2018 14:31",519,396.66,76.379,507,386.99,76.296,"20"
"107",591,39.7030645332742,"11_20",11,"Day11-Plate5 Algae-Bacteria Growth Experiment","3/27/2018 14:57",598,242.792,40.578,574,242.167,42.181,"20"
"108",541.333333333333,36.5528536657689,"11_23",11,"Day11-Plate2 Algae-Bacteria Growth Experiment","3/27/2018 14:21",553,300.906,54.446,501,285.253,56.937,"23"
"109",541.333333333333,36.5528536657689,"11_23",11,"Day11-Plate3 Algae-Bacteria Growth Experiment","3/27/2018 14:31",473,292.298,61.739,467,282.817,60.575,"23"
"110",541.333333333333,36.5528536657689,"11_23",11,"Day11-Plate5 Algae-Bacteria Growth Experiment","3/27/2018 14:57",598,240.984,40.291,588,220.02,37.418,"23"
"111",520.666666666667,29.0363756538434,"11_24",11,"Day11-Plate1 Algae-Bacteria Growth Experiment","3/27/2018 14:11",578,298.086,51.562,512,254.891,49.783,"24"
"112",520.666666666667,29.0363756538434,"11_24",11,"Day11-Plate2 Algae-Bacteria Growth Experiment","3/27/2018 14:21",500,238.839,47.81,429,187.588,43.704,"24"
"113",520.666666666667,29.0363756538434,"11_24",11,"Day11-Plate4 Algae-Bacteria Growth Experiment","3/27/2018 14:45",484,187.804,38.767,504,210.137,41.676,"24"
"114",491.666666666667,33.7359024054658,"11_8",11,"Day11-Plate1 Algae-Bacteria Growth Experiment","3/27/2018 14:11",516,180.419,34.965,439,137.247,31.287,"8"
"115",491.666666666667,33.7359024054658,"11_8",11,"Day11-Plate3 Algae-Bacteria Growth Experiment","3/27/2018 14:31",534,249.293,46.684,525,248.532,47.369,"8"
"116",491.666666666667,33.7359024054658,"11_8",11,"Day11-Plate4 Algae-Bacteria Growth Experiment","3/27/2018 14:45",425,222.633,52.343,433,219.48,50.675,"8"
"117",612,41.4809193083599,"12_10",12,"Day12-Plate1 Algae-Bacteria Growth Experiment","3/28/2018 13:08",594,251.384,42.289,449,178.003,39.684,"10"
"118",612,41.4809193083599,"12_10",12,"Day12-Plate3 Algae-Bacteria Growth Experiment","3/28/2018 13:28",694,256.905,37,657,250.702,38.171,"10"
"119",612,41.4809193083599,"12_10",12,"Day12-Plate4 Algae-Bacteria Growth Experiment","3/28/2018 13:38",504,267.692,53.078,496,259.681,52.367,"10"
"120",612,41.4809193083599,"12_10",12,"Day12-Plate4 Algae-Bacteria Growth Experiment","3/28/2018 13:38",656,260.181,39.682,626,233.408,37.312,"10"
"121",546,20,"12_13",12,"Day12-Plate2 Algae-Bacteria Growth Experiment","3/28/2018 13:17",526,235.233,44.721,510,223.027,43.702,"13"
"122",546,20,"12_13",12,"Day12-Plate3 Algae-Bacteria Growth Experiment","3/28/2018 13:28",566,227.698,40.253,558,230.198,41.229,"13"
"123",498.333333333333,26.1937227425029,"12_14",12,"Day12-Plate2 Algae-Bacteria Growth Experiment","3/28/2018 13:17",465,183.959,39.561,398,150.159,37.739,"14"
"124",498.333333333333,26.1937227425029,"12_14",12,"Day12-Plate3 Algae-Bacteria Growth Experiment","3/28/2018 13:28",550,229.341,41.715,545,224.53,41.19,"14"
"125",498.333333333333,26.1937227425029,"12_14",12,"Day12-Plate4 Algae-Bacteria Growth Experiment","3/28/2018 13:38",480,237.862,49.589,496,236.75,47.743,"14"
"126",498.666666666667,41.8343293374127,"12_19",12,"Day12-Plate1 Algae-Bacteria Growth Experiment","3/28/2018 13:08",441,142.09,32.196,347,101.645,29.255,"19"
"127",498.666666666667,41.8343293374127,"12_19",12,"Day12-Plate2 Algae-Bacteria Growth Experiment","3/28/2018 13:17",475,243.507,51.217,390,195.004,50.029,"19"
